product_id                                                                                                                                                                                                                                                       sales
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------------------
TEC-CO-10004722                                                                                                                                                                                                                                                  59514
OFF-BI-10003527                                                                                                                                                                                                                                                  26525.3
TEC-MA-10002412                                                                                                                                                                                                                                                  21734.4
FUR-CH-10002024                                                                                                                                                                                                                                                  21096.2
OFF-BI-10001359                                                                                                                                                                                                                                                  19090.2
OFF-BI-10000545                                                                                                                                                                                                                                                  18249
TEC-CO-10001449                                                                                                                                                                                                                                                  18151.2
TEC-MA-10001127                                                                                                                                                                                                                                                  17906.4
OFF-BI-10004995                                                                                                                                                                                                                                                  17354.8
OFF-SU-10000151                                                                                                                                                                                                                                                  16325.8

(10 rows affected)


Completion time: 2025-01-31T23:15:06.2005488-06:00
