order_month sales_2022             sales_2023
----------- ---------------------- ----------------------
1           94712.5                88632.6
2           90091                  128124.2
3           80106                  82512.2999999999
4           95451.6                111568.6
5           79448.2999999999       86447.8999999999
6           94170.5                68976.5
7           78652.2                90563.7999999999
8           104808                 87733.6
9           79142.1999999999       76658.5999999999
10          118912.7               121061.5
11          84225.3                75432.7999999999
12          95869.9                102556.1

(12 rows affected)


Completion time: 2025-01-31T23:15:56.9563024-06:00
